,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
0,ponta delgada,pt,37.73,-25.67,18.0,6.2,82.0,20.0
1,avarua,ck,-21.21,-159.78,26.0,2.6,61.0,40.0
2,pangnirtung,ca,66.15,-65.71,-11.85,1.75,100.0,68.0
3,semirom,ir,31.42,51.57,6.38,1.45,26.0,0.0
5,kang,bw,-23.68,22.79,20.53,5.2,65.0,0.0
6,dalby,au,-27.18,151.27,24.0,4.6,31.0,0.0
7,hilo,us,19.73,-155.09,23.0,3.2,94.0,90.0
8,belushya guba,ru,69.71,60.05,-5.0,7.55,100.0,64.0
10,ontario,us,34.06,-117.65,17.0,0.55,37.0,1.0
11,lithakia,gr,37.72,20.83,17.0,7.7,88.0,75.0
12,afyonkarahisar,tr,38.75,30.67,2.43,1.22,82.0,88.0
13,hobyo,so,5.35,48.53,27.16,5.8,78.0,0.0
14,washington,us,47.5,-120.5,4.0,0.9,100.0,90.0
16,lagoa,pt,39.05,-27.98,19.51,9.42,100.0,56.0
17,belomorsk,ru,64.52,34.77,1.26,3.62,100.0,80.0
18,christchurch,nz,-43.53,172.63,13.0,4.6,66.0,0.0
19,kintampo,gh,8.06,-1.73,21.91,3.32,95.0,0.0
20,masunga,bw,-20.62,27.45,18.0,3.1,93.0,40.0
21,komsomolskiy,ru,43.98,46.7,9.38,3.55,100.0,48.0
23,moura,pt,38.14,-7.45,8.0,1.5,100.0,20.0
24,shenjiamen,cn,29.96,122.3,19.06,3.1,92.0,0.0
25,sabzevar,ir,36.21,57.68,9.66,1.57,76.0,12.0
26,sao joao da barra,br,-21.64,-41.05,22.68,3.2,100.0,20.0
27,farah,af,32.37,62.12,12.21,1.62,100.0,92.0
28,abapo,bo,-18.83,-63.47,15.81,0.67,78.0,8.0
29,yatou,cn,37.15,122.38,15.76,5.22,54.0,24.0
30,nador,ma,35.17,-2.93,18.0,4.1,52.0,0.0
31,bambous virieux,mu,-20.34,57.76,27.0,3.1,69.0,75.0
32,brownwood,us,31.71,-98.99,17.0,3.1,100.0,90.0
33,villazon,bo,-22.09,-65.59,5.91,1.57,94.0,92.0
34,beysehir,tr,37.68,31.72,4.13,1.22,100.0,32.0
35,kailua,us,21.4,-157.74,27.0,2.6,78.0,20.0
36,illoqqortoormiut,gl,38.53,-28.64,19.56,9.82,99.0,44.0
37,vila velha,br,-20.33,-40.29,21.0,1.0,100.0,75.0
38,severo-yeniseyskiy,ru,60.37,93.04,-15.22,1.5,59.0,56.0
39,corinth,us,33.15,-97.06,18.0,2.6,82.0,90.0
40,hengshui,cn,37.73,115.7,12.91,5.05,50.0,0.0
41,nyrob,ru,60.73,56.72,-3.67,4.65,90.0,92.0
42,ransang,ph,8.96,117.58,27.38,2.07,92.0,56.0
43,tarakan,id,3.3,117.63,30.08,1.0,86.0,64.0
44,oistins,bb,13.07,-59.53,27.0,8.2,83.0,40.0
45,varkaus,fi,62.33,27.87,1.0,1.5,100.0,90.0
46,forrest city,us,35.01,-90.79,10.0,1.5,93.0,1.0
47,zwedru,lr,6.07,-8.13,21.01,1.25,94.0,20.0
48,coxim,br,-18.51,-54.76,16.91,1.47,73.0,8.0
49,ust-kulom,ru,61.69,53.69,-0.12,3.05,85.0,92.0
50,waconia,us,44.85,-93.79,-1.0,2.02,100.0,1.0
51,mehamn,no,71.04,27.85,2.0,3.1,86.0,0.0
52,cehegin,es,38.09,-1.8,7.88,3.82,73.0,0.0
53,eureka,us,40.8,-124.16,16.0,7.2,93.0,90.0
55,pacifica,us,37.61,-122.49,14.0,1.5,87.0,75.0
56,atascadero,us,35.49,-120.67,13.0,0.92,76.0,1.0
57,champerico,gt,14.3,-91.92,24.03,0.6,100.0,0.0
58,brookhaven,us,31.58,-90.44,16.0,1.5,87.0,75.0
59,severnyy,ru,50.68,36.55,2.0,3.0,86.0,75.0
60,burnie,au,-41.07,145.92,15.28,7.97,92.0,0.0
61,charters towers,au,-20.1,146.27,26.56,4.0,53.0,92.0
64,chernyshevskiy,ru,63.01,112.47,-12.37,2.2,95.0,44.0
65,herat,af,34.35,62.2,12.0,5.7,37.0,20.0
66,kota kinabalu,my,5.97,116.07,29.0,3.1,83.0,75.0
67,lexington,us,37.99,-84.48,7.0,5.1,81.0,90.0
69,santa cruz,cr,10.26,-85.59,24.0,1.0,100.0,0.0
70,high level,ca,58.52,-117.14,-10.0,2.1,85.0,90.0
71,comodoro rivadavia,ar,-45.87,-67.5,18.0,6.7,39.0,0.0
72,chimoio,mz,-19.12,33.48,19.0,1.82,100.0,90.0
73,carcassonne,fr,43.22,2.35,8.0,7.7,75.0,75.0
74,uusikaupunki,fi,60.8,21.41,1.0,2.6,100.0,80.0
76,saskylakh,ru,71.92,114.08,-27.37,1.4,26.0,64.0
77,taltal,cl,-25.4,-70.48,12.56,0.25,94.0,32.0
78,filingue,ne,14.35,3.32,14.41,3.32,44.0,0.0
79,filadelfia,py,-22.35,-60.03,18.18,1.35,69.0,12.0
80,mujiayingzi,cn,42.12,118.78,0.18,5.17,62.0,0.0
81,mys shmidta,ru,52.98,49.71,4.0,5.0,100.0,90.0
82,richards bay,za,-28.78,32.04,24.68,6.35,79.0,12.0
83,oruro,bo,-17.98,-67.15,4.08,1.35,100.0,76.0
84,werda,bw,-25.27,23.28,24.13,6.47,45.0,0.0
85,vizinga,ru,61.07,50.1,1.03,2.6,88.0,88.0
86,akdepe,tm,42.06,59.38,5.0,2.1,60.0,0.0
87,uyuni,bo,-20.46,-66.83,5.76,1.3,96.0,80.0
88,anchorage,us,61.22,-149.9,-8.0,4.1,72.0,1.0
89,akropong,gh,5.97,-0.09,27.0,2.1,88.0,0.0
90,rikitea,pf,-23.12,-134.97,23.56,7.2,100.0,92.0
92,pisco,pe,-13.7,-76.22,17.0,3.1,93.0,40.0
93,saint-pierre,pm,46.77,-56.17,5.41,4.75,100.0,92.0
94,miyako,jp,39.64,141.95,12.08,5.72,97.0,36.0
95,fereydun kenar,ir,36.69,52.52,13.0,1.0,93.0,0.0
96,soldotna,us,60.49,-151.06,-8.0,1.02,92.0,1.0
97,lima,pe,-12.04,-77.03,13.08,0.92,77.0,12.0
98,verkhnevilyuysk,ru,63.45,120.32,-24.12,1.72,75.0,36.0
100,matara,lk,5.95,80.54,28.18,6.67,90.0,56.0
101,gasa,bt,27.9,89.73,-1.75,0.6,46.0,0.0
102,botou,cn,38.07,116.57,12.81,5.27,37.0,0.0
103,coihaique,cl,-45.58,-72.07,8.0,2.1,93.0,90.0
105,villamontes,bo,-21.25,-63.5,15.58,1.6,64.0,64.0
108,tautira,pf,-17.73,-149.15,27.0,3.1,65.0,20.0
109,suicheng,cn,33.9,117.93,17.71,2.6,58.0,92.0
111,ngunguru,nz,-35.62,174.5,16.31,3.2,98.0,24.0
112,nizhneyansk,ru,55.64,51.82,1.0,5.0,100.0,90.0
113,volksrust,za,-27.37,29.88,20.41,1.97,60.0,0.0
114,rundu,na,-17.93,19.77,21.41,2.82,82.0,24.0
115,birjand,ir,32.87,59.22,6.0,3.1,60.0,0.0
117,pokhara,np,28.23,83.98,19.68,1.22,51.0,0.0
118,ketchikan,us,55.34,-131.65,6.0,3.1,81.0,90.0
119,roald,no,62.58,6.13,4.0,4.6,100.0,88.0
120,sur,om,22.57,59.53,27.31,3.02,94.0,0.0
121,laguna,br,-28.48,-48.78,18.81,8.07,98.0,0.0
122,aiquile,bo,-18.2,-65.18,5.08,0.9,85.0,32.0
123,dembi dolo,et,8.53,34.8,22.91,1.6,76.0,24.0
125,corsicana,us,32.1,-96.47,16.0,2.6,93.0,90.0
126,geraldton,au,-28.77,114.6,23.0,8.7,69.0,75.0
127,teya,ru,60.38,92.63,-15.45,1.52,60.0,76.0
129,louis trichardt,za,-23.04,29.9,20.38,0.57,91.0,100.0
130,kumluca,tr,36.37,30.29,3.76,0.72,78.0,76.0
131,zhumadian,cn,32.98,114.03,18.31,3.62,50.0,76.0
132,chipinge,zw,-20.19,32.62,21.03,1.52,100.0,92.0
133,juneau,us,58.3,-134.42,-1.0,1.5,79.0,90.0
134,butaritari,ki,3.07,172.79,28.93,4.82,100.0,76.0
135,platanos,gr,37.67,21.62,17.0,1.6,72.0,40.0
136,kommunisticheskiy,ru,61.68,64.48,-5.42,2.4,88.0,92.0
137,bumba,cd,2.18,22.47,23.41,1.57,94.0,92.0
138,labuan,my,5.33,115.2,28.0,3.1,94.0,75.0
139,sentyabrskiy,ru,60.75,72.86,-9.05,2.27,86.0,80.0
140,belmonte,br,-15.86,-38.88,24.0,4.6,100.0,90.0
141,guinayangan,ph,13.9,122.45,29.43,4.77,82.0,36.0
142,ballina,au,-28.87,153.57,20.76,4.6,100.0,32.0
143,djibo,bf,14.1,-1.63,13.51,3.85,37.0,8.0
144,dafeng,cn,23.45,108.59,23.08,1.67,82.0,92.0
147,upernavik,gl,72.79,-56.15,-6.75,8.25,100.0,68.0
148,bongaree,au,-27.08,153.16,23.0,5.7,46.0,20.0
149,afrikanda,ru,67.44,32.78,0.38,1.35,98.0,92.0
150,muros,es,42.78,-9.06,9.0,2.1,100.0,40.0
151,synya,ru,65.37,58.04,-4.47,1.97,85.0,92.0
152,coquimbo,cl,-29.95,-71.34,13.0,1.67,87.0,0.0
153,altamont,us,42.21,-121.74,6.0,9.8,75.0,20.0
154,namibe,ao,-15.2,12.15,20.51,1.92,100.0,0.0
157,kuryk,kz,43.2,51.65,7.58,3.25,100.0,0.0
158,azle,us,32.9,-97.55,18.0,1.5,72.0,75.0
159,zabol,ir,31.03,61.5,16.0,7.2,36.0,0.0
160,nangong,cn,37.36,115.37,14.53,5.5,40.0,8.0
161,kutum,sd,14.2,24.67,16.66,2.5,36.0,0.0
163,zhanaozen,kz,43.3,52.8,7.18,2.17,87.0,32.0
164,kalamansig,ph,6.55,124.05,25.88,1.27,91.0,68.0
165,kearney,us,40.7,-99.08,3.0,3.6,86.0,1.0
166,trairi,br,-3.28,-39.27,26.56,7.2,100.0,0.0
167,bardiyah,ly,31.76,25.09,17.18,7.77,100.0,0.0
168,cervo,es,43.67,-7.41,13.38,5.45,100.0,44.0
169,comarapa,bo,-17.9,-64.48,9.81,0.47,74.0,12.0
171,honningsvag,no,70.98,25.97,2.0,3.1,80.0,75.0
172,muhororo,ug,0.94,30.76,22.31,0.25,100.0,76.0
174,pareora,nz,-44.4,171.22,12.83,2.8,82.0,0.0
175,san cristobal,ec,-0.9,-89.62,20.38,5.12,100.0,0.0
176,dunedin,nz,-45.87,170.5,12.51,2.27,71.0,20.0
177,nantucket,us,41.28,-70.1,9.0,1.5,93.0,90.0
178,severomorsk,ru,69.07,33.42,1.0,3.0,93.0,75.0
179,almaznyy,ru,48.04,40.05,9.76,2.92,100.0,64.0
180,fort wellington,gy,6.4,-57.6,27.16,4.95,99.0,88.0
181,lerwick,gb,60.15,-1.15,3.0,2.6,100.0,56.0
182,hermanus,za,-34.42,19.23,16.03,1.45,76.0,76.0
183,greenwood,us,39.61,-86.11,4.0,2.6,100.0,90.0
184,challapata,bo,-18.9,-66.77,4.91,1.4,96.0,92.0
185,mountain home,us,43.13,-115.69,7.0,1.5,93.0,90.0
187,nieuw amsterdam,sr,5.88,-55.08,25.0,2.1,88.0,0.0
188,reconquista,ar,-29.15,-59.65,16.91,2.35,69.0,0.0
189,abu zabad,sd,12.35,29.25,23.08,1.35,72.0,0.0
190,san pedro de ycuamandiyu,py,-24.09,-57.08,15.91,2.17,58.0,0.0
191,leh,in,34.17,77.58,-11.72,0.77,82.0,44.0
192,duobao,cn,30.67,112.69,12.78,4.0,100.0,92.0
194,joroan,ph,13.49,123.62,27.88,3.07,87.0,56.0
195,mabaruma,gy,8.2,-59.78,26.18,1.95,91.0,80.0
196,dana point,us,33.47,-117.7,17.0,1.37,88.0,1.0
197,asau,tv,-8.52,179.13,31.0,5.1,62.0,40.0
198,monzon,es,41.91,0.19,8.0,11.8,49.0,0.0
199,digby,ca,44.62,-65.77,1.18,4.0,100.0,24.0
200,armacao de pera,pt,37.1,-8.36,12.0,1.0,71.0,0.0
201,atuona,pf,-9.8,-139.03,27.06,6.3,100.0,0.0
202,porto novo,cv,17.02,-25.06,25.0,4.1,83.0,75.0
203,bathsheba,bb,13.22,-59.52,27.0,8.2,83.0,40.0
205,osuna,es,37.24,-5.11,7.0,2.1,81.0,0.0
206,punta arenas,cl,-53.15,-70.92,6.0,10.8,75.0,20.0
207,vaitape,pf,-16.52,-151.75,26.21,3.92,100.0,44.0
209,manyana,bw,-23.4,21.72,20.38,4.9,64.0,0.0
211,central point,us,42.38,-122.92,13.0,8.2,54.0,90.0
212,artyom,az,40.47,50.33,14.0,3.1,93.0,90.0
213,igrim,ru,63.19,64.42,-4.5,2.52,87.0,92.0
214,pionerskiy,ru,54.95,20.23,2.0,2.0,93.0,40.0
215,save,bj,8.04,2.49,23.68,2.57,92.0,0.0
216,kardamaina,gr,36.78,27.14,18.0,8.2,68.0,40.0
217,snezhnogorsk,ru,69.19,33.25,1.0,3.0,100.0,75.0
218,dixon,us,38.45,-121.82,13.0,2.6,76.0,75.0
219,neftcala,az,39.37,49.25,14.63,1.85,100.0,92.0
220,meulaboh,id,4.14,96.13,29.63,3.15,96.0,0.0
221,toamasina,mg,-18.17,49.38,25.0,1.0,94.0,75.0
222,fairbanks,us,64.84,-147.72,-3.0,5.7,86.0,90.0
223,svetlogorsk,ru,54.94,20.15,2.0,2.0,93.0,40.0
224,sinegorye,ru,62.08,150.48,-22.47,1.05,72.0,80.0
225,izvoarele,ro,45.03,25.27,6.33,1.95,92.0,88.0
226,hambantota,lk,6.12,81.12,29.46,7.57,95.0,24.0
227,chokurdakh,ru,70.63,147.92,-20.1,1.45,67.0,64.0
228,broome,au,-17.97,122.23,30.0,6.2,62.0,0.0
229,nyurba,ru,63.28,118.33,-21.05,1.75,57.0,56.0
230,alta,no,69.97,23.27,-5.0,2.1,92.0,0.0
231,kaitangata,nz,-46.23,169.75,13.71,4.15,59.0,0.0
233,pierre,us,44.37,-100.35,4.0,4.6,80.0,1.0
234,strezhevoy,ru,60.73,77.59,-16.0,3.0,91.0,75.0
236,dengfeng,cn,34.46,113.03,16.81,5.42,45.0,20.0
237,asosa,et,10.07,34.53,25.66,1.75,48.0,32.0
238,antalaha,mg,-14.9,50.28,27.43,1.67,76.0,32.0
239,lormont,fr,44.88,-0.52,6.0,2.1,93.0,0.0
241,acarau,br,-2.89,-40.12,24.13,4.37,91.0,64.0
242,monforte de lemos,es,42.52,-7.51,7.91,1.35,97.0,76.0
243,bondo,cd,3.81,23.69,20.66,1.17,100.0,92.0
244,waipawa,nz,-41.41,175.52,13.0,7.7,62.0,80.0
245,tawau,my,4.25,117.89,31.0,2.6,74.0,75.0
246,cam ranh,vn,11.92,109.16,27.68,3.92,90.0,12.0
247,san patricio,mx,19.22,-104.7,22.28,1.17,100.0,0.0
248,date,jp,42.47,140.87,5.91,1.9,100.0,92.0
250,egvekinot,ru,66.32,-179.17,-22.32,1.0,62.0,36.0
